Date;High;Low;Volume;Marketcap
2013.04;147.48800659179688;134.0;0.0;1603768864.5
2013.04;146.92999267578125;134.0500030517578;0.0;1542813125.0
2013.05;139.88999938964844;107.72000122070312;0.0;1298954593.75
2013.05;125.5999984741211;92.28189849853516;0.0;1168517495.25
2013.05;108.12799835205078;79.0999984741211;0.0;1085995168.75
2013.12;777.510009765625;713.5999755859375;46862700.0;8955394563.5
2013.12;747.0599975585938;705.3499755859375;32505800.0;8869918644.0
2013.12;748.6099853515625;714.4400024414062;19011300.0;9082103621.25
2013.12;766.5999755859375;740.239990234375;20707700.0;9217167990.25
2013.12;760.5800170898438;738.1699829101562;20897300.0;9191325349.25
2014.01;775.3499755859375;754.969970703125;22489400.0;9403308145.0
2014.01;820.3099975585938;767.2100219726562;38489500.0;9781073920.75
2014.01;834.1500244140625;789.1199951171875;37810100.0;9980135396.0
2014.01;859.510009765625;801.6699829101562;38005000.0;10477362436.8
2014.01;952.4000244140625;854.52001953125;72898496.0;11379660685.2
2014.12;328.9110107421875;312.6300048828125;15185200.0;4313267196.5
2014.12;320.02801513671875;311.0780029296875;11676600.0;4333389568.3
2014.12;320.2669982910156;312.3070068359375;12302500.0;4272268162.75
2014.12;314.8089904785156;309.37298583984375;12528300.0;4247060094.9
2014.12;320.1929931640625;310.21099853515625;13942900.0;4377510594.68
2015.01;320.43499755859375;314.00299072265625;8036550.0;4297535768.18
2015.01;315.8389892578125;313.56500244140625;7860650.0;4309551126.2
2015.01;315.1499938964844;281.0820007324219;33054400.0;3846269871.6
2015.01;287.2300109863281;257.61199951171875;55629100.0;3616320974.62
2015.01;278.34100341796875;265.0840148925781;43962800.0;3758098008.0
2015.12;424.0069885253906;408.88299560546875;53591200.0;6348296233.72
2015.12;429.7690124511719;418.4809875488281;49638600.0;6341733237.12
2015.12;432.9830017089844;420.62701416015625;51596500.0;6504194853.98
2015.12;434.3869934082031;422.0840148925781;46889400.0;6410381454.5
2015.12;432.9209899902344;418.7349853515625;45996600.0;6471217490.68
2016.01;436.2460021972656;427.5150146484375;36278900.0;6529299588.6
2016.01;436.06201171875;431.8699951171875;30096600.0;6517390487.0
2016.01;433.7430114746094;424.70599365234375;39633800.0;6467429941.65
2016.01;434.5169982910156;429.0840148925781;38477500.0;6515713340.43
2016.01;434.1820068359375;429.6759948730469;34522600.0;6500393256.0
2016.12;940.0479736328125;904.2550048828125;167308000.0;14994286713.1
2016.12;975.9210205078125;934.8309936523438;236630000.0;15682769404.8
2016.12;979.39697265625;954.5029907226562;199320000.0;15645617392.3
2016.12;972.5349731445312;934.8330078125;187474000.0;15450507054.9
2016.12;963.7429809570312;947.2360229492188;99135104.0;15492554222.2
2017.01;1003.0800170898438;958.698974609375;147775008.0;16050407460.5
2017.01;1031.3900146484375;996.7020263671875;222184992.0;16429024775.0
2017.01;1044.0799560546875;1021.5999755859375;185168000.0;16786368910.1
2017.01;1159.4200439453125;1044.4000244140625;344945984.0;18571869009.0
2017.01;1191.0999755859375;910.4169921875;510199008.0;16300254795.1
2017.12;16930.900390625;15114.2998046875;12487600128.0;265559172050.0
2017.12;15888.400390625;13937.2998046875;12336499712.0;244929825575.0
2017.12;15279.0;14307.0;13025500160.0;245793634125.0
2017.12;14681.900390625;12350.099609375;14452599808.0;217239803085.0
2017.12;14377.400390625;12755.599609375;12136299520.0;237465823980.0
2018.01;14112.2001953125;13154.7001953125;10291200000.0;229119155396.0
2018.01;15444.599609375;13163.599609375;16846600192.0;251377913955.0
2018.01;15572.7998046875;14844.5;16871900160.0;255080562912.0
2018.01;15739.7001953125;14522.2001953125;21783199744.0;261795321110.0
2018.01;17705.19921875;15202.7998046875;23840899072.0;292544135538.0
2018.12;3874.41687968;3645.44843766;5130222366.47092;63768757100.9022
2018.12;3956.13609361;3642.63210325;5631554348.35522;68471837968.722
2018.12;3963.75880829;3820.40868219;4991655917.4825;66672244158.107
2018.12;3901.9090157;3797.21912198;4770578574.97409;67475512827.3938
2018.12;3868.74298842;3725.86749335;4661840806.32313;65331499157.744
2019.01;3850.91376479;3707.23130258;4324200990.19464;67098634180.6128
2019.01;3947.9812729;3817.40949569;5244856835.70851;68849856731.6738
2019.01;3935.68513083;3826.22287069;4530215218.84018;66994920902.7202
2019.01;3865.93453193;3783.8536653;4847965467.09122;67368333500.343
2019.01;3904.90309592;3836.90012599;5137609823.75761;67157570935.0686
2019.12;7363.52923526;7189.93393524;22777360995.5688;132139502950.022
2019.12;7399.04088941;7286.90517228;21365673026.1211;132659059739.795
2019.12;7513.94840873;7279.86546765;22445257701.742;134570835775.06
2019.12;7454.82402731;7276.30814028;22874131671.9859;132235128152.198
2019.12;7335.2900508;7169.77768628;21167946112.2959;130446112598.42
2020.01;7254.33061134;7174.94415256;18565664996.7884;130580829149.587
2020.01;7212.15525252;6935.26997193;20802083465.3292;126699395235.204
2020.01;7413.71509934;6914.99590793;28111481031.9377;133233444755.489
2020.01;7427.38579435;7309.5140117;18444271274.7607;134442464030.264
2020.01;7544.49687224;7400.5355609;19725074094.5446;134469548249.076
2020.12;28288.84002225;25922.76976496;66479895605.09452;488213268382.0132
2020.12;27389.11206428;26207.63993146;49056742892.60884;503339329917.2024
2020.12;27370.7200843;25987.29807483;45265946774.40101;508523687096.6884
2020.12;28937.74000401;27360.08970906;51287442703.98229;536033807160.8408
2020.12;29244.87668786;28201.99199364;46754964848.18651;539051138107.78613
2021.01;29600.6269503;28803.58501355;40730301358.64019;546001594837.51166
2021.01;33155.11881942;29091.18119088;67865420765.45639;597205944668.8502
